"ImageNumber","FileName_colorimage","AreaShape_Area","AreaShape_HuMoment_2","AreaShape_InertiaTensor_0_0","AreaShape_Solidity","Intensity_IntegratedIntensity_DNA","Intensity_IntegratedIntensity_H2AX","Intensity_MADIntensity_DNA","Intensity_MassDisplacement_DNA","Intensity_MassDisplacement_H2AX","Intensity_MassDisplacement_Ki67","Intensity_MaxIntensity_H2AX","Intensity_MinIntensityEdge_DNA","Intensity_MinIntensityEdge_H2AX","Intensity_MinIntensity_Ki67","Intensity_StdIntensityEdge_DNA","Intensity_StdIntensityEdge_Ki67","Intensity_StdIntensity_Ki67"
1,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_100.png",805,7.17e-07,59.16482234,0.966386555,139.0352971,37.37647135,0.031372547,0.373441591,0.173985949,0.425359724,0.070588239,0,0,0,0.043639502,0.021813182,0.01674125
2,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_103.png",999,0.003235828,218.2435188,0.848047538,227.5411829,49.50196169,0.039215699,1.331098404,0.760480831,1.713172016,0.070588239,0,0,0,0.056585428,0.014924123,0.011898768
3,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_104.png",1070,8.24e-05,94.24931522,0.972727273,139.3607881,40.94902038,0.027450979,0.224995633,0.088051863,0.154488006,0.06666667,0,0,0,0,0,0.028822003
4,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_105.png",656,1.78e-05,54.7708558,0.960468521,120.9843164,30.04705946,0.035294116,0.569839169,0.149121992,0.169650997,0.05882353,0,0,0,0.033248836,0.008109851,0.005843143
5,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_108.png",1182,3.72e-05,82.18741071,0.971240756,195.0627498,59.58431471,0.031372547,0.907011181,0.19510542,0.744207105,0.06666667,0,0,0,0.018519184,0.013518329,0.011819179
6,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_109.png",675,0.000310428,41.828969,0.958806818,186.3098097,30.20000065,0.043137252,0.391050413,0.23359353,0.264268593,0.062745102,0,0,0,0.083889718,0.015172119,0.006933189
7,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_113.png",1055,0.000107438,148.9264662,0.939447907,164.8274552,43.10196157,0.058823526,1.413545263,0.378166746,0.593012999,0.082352944,0,0,0,0,0,0.04833853
8,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_114.png",934,6.1e-05,77.07599191,0.978010471,141.8588278,44.44313807,0.015686274,0.249685948,0.045647908,0.167409924,0.06666667,0,0,0,0.034240336,0.019395999,0.023430812
9,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_116.png",725,3.31e-05,61.24009322,0.974462366,115.6941204,33.73333399,0.027450979,0.146876364,0.10172696,0.308495598,0.082352944,0,0,0,0.048669746,0.02474565,0.023209695
10,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_125.png",1159,5.07e-06,135.6769418,0.967445743,241.2196158,47.43137328,0.062745094,0.754300023,0.029717188,0.262506727,0.06666667,0,0,0,0,0,0.022413074
11,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_126.png",876,4.06e-05,58.34007188,0.970099668,167.1019649,39.49804016,0.027450979,0.872203461,0.195118839,0.137038267,0.105882354,0,0,0,0.023614931,0.003686624,0.002821156
12,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_127.png",1257,3.43e-05,123.668109,0.974418605,140.643142,47.38039317,0.023529418,0.650481171,0.253756151,0.185551279,0.098039217,0,0,0,0,0,0.041851383
13,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_128.png",872,0.000621477,86.46339613,0.948857454,205.3529477,41.34117725,0.043137267,0.450168234,0.270007504,1.235890981,0.06666667,0,0,0,0.061442622,0.01483154,0.009687541
14,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_13.png",897,0.000741628,85.2096509,0.943217666,153.2588274,41.0627459,0.039215684,1.113854365,0.268770504,0.79943706,0.062745102,0,0,0,0.050875848,0.016156788,0.027178336
15,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_132.png",1079,0.000115356,151.2187202,0.948988566,257.066674,52.94509905,0.058823541,0.801940271,0.219049213,1.669153169,0.086274512,0,0,0,0.049078668,0.017377447,0.013446059
16,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_134.png",851,0.0004248,160.0410908,0.951901566,151.9568674,31.58431427,0.062745094,0.671016256,0.078740991,0.405131328,0.070588239,0,0,0,0,0,0.018592092
17,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_143.png",900,5.93e-06,94.5731,0.965665236,138.0196118,40.74117736,0.019607842,0.221739553,0.215331345,0.356407258,0.062745102,0,0,0,0.034693746,0.009965814,0.004687174
18,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_144.png",915,6.1e-05,79.28167936,0.973404255,154.4000036,44.02745182,0.02352941,0.276685651,0.277050259,0.681929703,0.082352944,0,0,0,0.042007182,0.02231208,0.03095062
19,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_145.png",457,9.83e-05,47.38633175,0.970276008,91.94117925,21.47451021,0.04901962,0.493892454,0.15447487,0.273385673,0.06666667,0,0,0,0.040941157,0.012525492,0.007814063
